Berichtsjahr,Berichtsmonat,Segment,Marke,Modellreihe,Anzahl,ZS Anzahl,Diesel,ZS Diesel,Hybrid,ZS Hybrid,Benzin-Hybrid,ZS Benzin-Hybrid,Diesel-Hybrid,ZS Diesel-Hybrid,Hybrid (ohne Plug-in),ZS Hybrid (ohne Plug-in),Benzin-Hybrid (ohne Plug-in),ZS Benzin-Hybrid (ohne Plug-in),Diesel-Hybrid (ohne Plug-in),ZS Diesel-Hybrid (ohne Plug-in),Plug-in-Hybrid,ZS Plug-in-Hybrid,Benzin-Plug-in-Hybrid,ZS Benzin-Plug-in-Hybrid,Diesel-Plug-in-Hybrid,ZS Diesel-Plug-in-Hybrid,Elektro (BEV),ZS Elektro (BEV),Allradantrieb,ZS Allrad,offener Aufbau,ZS offener Aufbau,gewerblich,ZS gewerblich,ObjectId,Monat Sortierung
2025,Mai,MITTELKLASSE,MERCEDES,CLA-KLASSE,971,,175,,746,,746,,,-,540,,540,,,-,206,,206,,,-,31,,139,,,-,546,,20406,5
2025,Mai,MITTELKLASSE,NIO,ET5,6,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,6,,6,,,-,5,,20407,5
2025,Mai,MITTELKLASSE,PEUGEOT,408,405,,,-,402,,402,,,-,129,,129,,,-,273,,273,,,-,,-,,-,,-,297,,20408,5
2025,Mai,MITTELKLASSE,PEUGEOT,508,31,,,-,28,,28,,,-,,-,,-,,-,28,,28,,,-,,-,12,,,-,29,,20409,5
2025,Mai,MITTELKLASSE,POLESTAR,2,143,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,143,,49,,,-,113,,20410,5
2025,Mai,MITTELKLASSE,SKODA,SUPERB,1727,,722,,836,,836,,,-,158,,158,,,-,678,,678,,,-,,-,425,,,-,1552,,20411,5
2025,Mai,MITTELKLASSE,TESLA,MODEL 3,281,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,281,,114,,,-,87,,20412,5
2025,Mai,MITTELKLASSE,VOLVO,60,358,,,-,358,,353,,5,,131,,126,,5,,227,,227,,,-,,-,231,,,-,298,,20413,5
2025,Mai,MITTELKLASSE,VW,ARTEON,95,,6,,2,,2,,,-,,-,,-,,-,2,,2,,,-,,-,52,,,-,83,,20414,5
2025,Mai,MITTELKLASSE,VW,PASSAT,3552,,1771,,1724,,1724,,,-,383,,383,,,-,1341,,1341,,,-,,-,436,,,-,3398,,20415,5
2025,Mai,OBERE MITTELKLASSE,AUDI,A6,4442,,6,,2752,,1249,,1503,,2432,,929,,1503,,320,,320,,,-,1666,,2598,,,-,4026,,20416,5
2025,Mai,OBERE MITTELKLASSE,BMW,5ER,2944,,,-,2141,,1015,,1126,,1297,,171,,1126,,844,,844,,,-,803,,1793,,,-,2489,,20417,5
2025,Mai,OBERE MITTELKLASSE,DS,9,1,,,-,1,,1,,,-,,-,,-,,-,1,,1,,,-,,-,,-,,-,1,,20418,5
2025,Mai,OBERE MITTELKLASSE,HYUNDAI,G80,3,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,2,,3,,,-,3,,20419,5
2025,Januar,SUVs,BYD,TANG,10,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,10,,10,,,-,10,,20420,1
2025,Mai,OBERKLASSE,LUCID,AIR,15,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,15,,12,,,-,11,,20421,5
2025,Mai,OBERKLASSE,MASERATI,GHIBLI,3,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,3,,,-,3,,20422,5
2025,März,SUVs,BMW,X1,3999,,198,,2147,,1441,,706,,1512,,806,,706,,635,,635,,,-,1201,,2157,,,-,2485,,20423,3
2025,Mai,OBERKLASSE,MERCEDES,S-KLASSE,321,,1,,239,,135,,104,,187,,83,,104,,52,,52,,,-,73,,297,,,-,298,,20424,5
2025,Mai,OBERKLASSE,NIO,ET7,3,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,3,,3,,,-,3,,20425,5
